#curie_map:
#  NCIT: "http://purl.obolibrary.org/obo/NCIT_"
#  CL: "http://purl.obolibrary.org/obo/CL_"
#  owl: "http://www.w3.org/2002/07/owl#"
subject_id	subject_label	predicate_id	predicate_label	object_id	object_label
NCIT:C12588	Hepatocyte	owl:equivalentClass	equivalent to	CL:0000182	hepatocyte
NCIT:C12563	Histiocyte	owl:equivalentClass	equivalent to	CL:0000864	tissue-resident macrophage
NCIT:C32766	Immature B-Lymphocyte	owl:equivalentClass	equivalent to	CL:0000816	immature B cell
NCIT:C38325	Immature T-Lymphocyte	owl:equivalentClass	equivalent to	CL:0000893	thymocyte
NCIT:C132890	Immune Cell	owl:equivalentClass	equivalent to	CL:0000738	leukocyte
NCIT:C32812	Inner Supporting Cell	owl:equivalentClass	equivalent to	CL:0005015	inner phalangeal cell
NCIT:C13146	Intercalated Cell	owl:equivalentClass	equivalent to	CL:0005010	renal intercalated cell
NCIT:C38336	Interdigitating Dendritic Cell	owl:equivalentClass	equivalent to	CL:0000990	conventional dendritic cell
NCIT:C12625	Interneuron	owl:equivalentClass	equivalent to	CL:0000099	interneuron
NCIT:C32870	Interstitial Cell	owl:equivalentClass	equivalent to	CL:0000178	Leydig cell
NCIT:C32871	Interstitial Cell of Cajal	owl:equivalentClass	equivalent to	CL:0002088	interstitial cell of Cajal
NCIT:C32872	Interstitial Cell of the Pineal Gland	owl:equivalentClass	equivalent to	CL:0002220	interstitial cell of pineal gland
NCIT:C13161	Juxtaglomerular Cell	owl:equivalentClass	equivalent to	CL:0000648	kidney granular cell
NCIT:C12589	Keratinocyte	owl:equivalentClass	equivalent to	CL:0000312	keratinocyte
NCIT:C12564	Kupffer Cell	owl:equivalentClass	equivalent to	CL:0000091	Kupffer cell
NCIT:C32911	Lactotroph Cell	owl:equivalentClass	equivalent to	CL:0002311	mammotroph
NCIT:C12584	Langerhans Cell	owl:equivalentClass	equivalent to	CL:0000453	Langerhans cell
NCIT:C12529	Leukocyte	owl:equivalentClass	equivalent to	CL:0000738	leukocyte
NCIT:C12609	Leydig Cell	owl:equivalentClass	equivalent to	CL:0000178	Leydig cell
NCIT:C12610	Lutein Cell	owl:equivalentClass	equivalent to	CL:0000175	luteal cell
NCIT:C12535	Lymphocyte	owl:equivalentClass	equivalent to	CL:0000542	lymphocyte
NCIT:C123783	M2 Macrophage	owl:equivalentClass	equivalent to	CL:0000890	alternatively activated macrophage
NCIT:C12558	Macrophage	owl:equivalentClass	equivalent to	CL:0000235	macrophage
NCIT:C38729	Marginal Zone B-Lymphocyte	owl:equivalentClass	equivalent to	CL:0000845	marginal zone B cell
NCIT:C12747	Mast Cell	owl:equivalentClass	equivalent to	CL:0000097	mast cell
NCIT:C33058	Mature B-Lymphocyte	owl:equivalentClass	equivalent to	CL:0000785	mature B cell
NCIT:C33061	Mature T-Lymphocyte	owl:equivalentClass	equivalent to	CL:0002419	mature T cell
NCIT:C33063	Mechanoreceptor Cell	owl:equivalentClass	equivalent to	CL:0000199	mechanoreceptor cell
NCIT:C13122	Megakaryoblast	owl:equivalentClass	equivalent to	CL:0000553	megakaryocyte progenitor cell
NCIT:C12553	Megakaryocyte	owl:equivalentClass	equivalent to	CL:0000556	megakaryocyte
NCIT:C85503	Melanoblast	owl:equivalentClass	equivalent to	CL:0000541	melanoblast
NCIT:C12591	Melanocyte	owl:equivalentClass	equivalent to	CL:0000148	melanocyte
NCIT:C13123	Memory B-Lymphocyte	owl:equivalentClass	equivalent to	CL:0000787	memory B cell
NCIT:C104082	Memory T-Lymphocyte	owl:equivalentClass	equivalent to	CL:0000813	memory T cell
NCIT:C33095	Meningothelial Cell	owl:equivalentClass	equivalent to	CL:0002379	meningothelial cell
NCIT:C12592	Merkel Cell	owl:equivalentClass	equivalent to	CL:0000242	Merkel cell
NCIT:C13159	Mesangial Cell	owl:equivalentClass	equivalent to	CL:0000650	mesangial cell
NCIT:C43423	Mesenchymal Stem Cell	owl:equivalentClass	equivalent to	CL:0000134	mesenchymal stem cell
NCIT:C33936	Mesoderm Cell	owl:equivalentClass	equivalent to	CL:0000222	mesodermal cell
NCIT:C33104	Mesothelial Cell	owl:equivalentClass	equivalent to	CL:0000077	mesothelial cell
NCIT:C13116	Metamyelocyte	owl:equivalentClass	equivalent to	CL:0002192	metamyelocyte
NCIT:C12616	Microglia	owl:equivalentClass	equivalent to	CL:0000129	microglial cell
NCIT:C13014	Monoblast	owl:equivalentClass	equivalent to	CL:0000040	monoblast
NCIT:C12547	Monocyte	owl:equivalentClass	equivalent to	CL:0000576	monocyte
NCIT:C12644	Motor Neuron	owl:equivalentClass	equivalent to	CL:0000100	motor neuron
NCIT:C13142	Mucus-Secreting Cell	owl:equivalentClass	equivalent to	CL:0000319	mucus secreting cell
NCIT:C33143	Multipolar Neuron	owl:equivalentClass	equivalent to	CL:0000104	multipolar neuron
NCIT:C43419	Multipotent Stem Cell	owl:equivalentClass	equivalent to	CL:0000048	multi fate stem cell
NCIT:C12612	Muscle Cell	owl:equivalentClass	equivalent to	CL:0000187	muscle cell
NCIT:C13015	Myeloblast	owl:equivalentClass	equivalent to	CL:0000835	myeloblast
NCIT:C13115	Myelocyte	owl:equivalentClass	equivalent to	CL:0002193	myelocyte
NCIT:C12549	Myeloid Cell	owl:equivalentClass	equivalent to	CL:0000763	myeloid cell
NCIT:C33151	Myoblast	owl:equivalentClass	equivalent to	CL:0000056	myoblast
NCIT:C33152	Myoepithelial Cell	owl:equivalentClass	equivalent to	CL:0000185	myoepithelial cell
NCIT:C33152	Myoepithelial Cell	owl:equivalentClass	equivalent to	CL:0000118	basket cell
NCIT:C38337	Naive Pregerminal Center B-Lymphocyte	owl:equivalentClass	equivalent to	CL:0000788	naive B cell
NCIT:C104081	Naive T-Lymphocyte	owl:equivalentClass	equivalent to	CL:0000898	naive T cell
NCIT:C12536	Natural Killer Cell	owl:equivalentClass	equivalent to	CL:0000623	natural killer cell
NCIT:C33937	Neural Crest Cell	owl:equivalentClass	equivalent to	CL:0011012	neural crest cell
NCIT:C12985	Neural Stem Cell	owl:equivalentClass	equivalent to	CL:0000047	neuronal stem cell
NCIT:C12991	Neuroblast	owl:equivalentClass	equivalent to	CL:0000031	neuroblast
NCIT:C12485	Neuroendocrine Cell	owl:equivalentClass	equivalent to	CL:0000165	neuroendocrine cell
NCIT:C12623	Neuron	owl:equivalentClass	equivalent to	CL:0000540	neuron
NCIT:C12533	Neutrophil	owl:equivalentClass	equivalent to	CL:0000775	neutrophil
NCIT:C12647	Nitrergic Neuron	owl:equivalentClass	equivalent to	CL:0000528	nitrergic neuron
NCIT:C12567	Odontoblast	owl:equivalentClass	equivalent to	CL:0000060	odontoblast
NCIT:C13150	Olfactory Epithelial Cell	owl:equivalentClass	equivalent to	CL:0002167	olfactory epithelial cell
NCIT:C13151	Olfactory Receptor Cell	owl:equivalentClass	equivalent to	CL:0000207	olfactory receptor cell
NCIT:C12633	Olfactory Receptor Neuron	owl:equivalentClass	equivalent to	CL:0000207	olfactory receptor cell
NCIT:C12618	Oligodendrocyte	owl:equivalentClass	equivalent to	CL:0000128	oligodendrocyte
NCIT:C12598	Oocyte	owl:equivalentClass	equivalent to	CL:0000023	oocyte
NCIT:C12568	Osteoblast	owl:equivalentClass	equivalent to	CL:0000062	osteoblast
NCIT:C12570	Osteoclast	owl:equivalentClass	equivalent to	CL:0000092	osteoclast
NCIT:C12569	Osteocyte	owl:equivalentClass	equivalent to	CL:0000137	osteocyte
NCIT:C33240	Outer Supporting Cell	owl:equivalentClass	equivalent to	CL:0000635	Deiter's cell
NCIT:C12654	Oxyphil Cell	owl:equivalentClass	equivalent to	CL:0002198	oncocyte
NCIT:C33254	Pancreatic Centroacinar Cell	owl:equivalentClass	equivalent to	CL:0002080	pancreatic centro-acinar cell
NCIT:C107531	Pancreatic Stellate Cell	owl:equivalentClass	equivalent to	CL:0002410	pancreatic stellate cell
NCIT:C12593	Paneth Cell	owl:equivalentClass	equivalent to	CL:0000510	paneth cell
NCIT:C33266	Parathyroid Gland Chief Cell	owl:equivalentClass	equivalent to	CL:0000446	chief cell of parathyroid gland
NCIT:C33269	Parathyroid Gland Oxyphil Cell	owl:equivalentClass	equivalent to	CL:0002199	oxyphil cell of parathyroid gland
NCIT:C12594	Parietal Cell	owl:equivalentClass	equivalent to	CL:0000162	parietal cell
NCIT:C12656	Pericyte	owl:equivalentClass	equivalent to	CL:0000669	pericyte cell
NCIT:C41416	Perineural Cell	owl:equivalentClass	equivalent to	CL:0002576	perineural cell
NCIT:C12619	Perineuronal Satellite Cell	owl:equivalentClass	equivalent to	CL:0000516	perineuronal satellite cell
NCIT:C12954	Peripheral Blood Mononuclear Cell	owl:equivalentClass	equivalent to	CL:2000001	peripheral blood mononuclear cell
NCIT:C12946	Peripheral Blood Stem Cell	owl:equivalentClass	equivalent to	CL:0002246	peripheral blood stem cell
NCIT:C12566	Peritoneal Macrophage	owl:equivalentClass	equivalent to	CL:0000581	peritoneal macrophage
NCIT:C33310	Peritoneal Mesothelial Cell	owl:equivalentClass	equivalent to	CL:1000490	mesothelial cell of peritoneum
NCIT:C12657	Phagocytic Cell	owl:equivalentClass	equivalent to	CL:0000234	phagocyte
NCIT:C12634	Photoreceptor Cell	owl:equivalentClass	equivalent to	CL:0000210	photoreceptor cell
NCIT:C33322	Pillar Cell	owl:equivalentClass	equivalent to	CL:1000191	pillar cell
NCIT:C33323	Pineocyte	owl:equivalentClass	equivalent to	CL:0000652	pinealocyte
NCIT:C45919	Pituicyte	owl:equivalentClass	equivalent to	CL:0000645	pituicyte
NCIT:C12486	Plasma Cell	owl:equivalentClass	equivalent to	CL:0000786	plasma cell
NCIT:C45236	Plasmacytoid Monocyte	owl:equivalentClass	equivalent to	CL:0000784	plasmacytoid dendritic cell
NCIT:C12520	Platelet	owl:equivalentClass	equivalent to	CL:0000233	platelet
NCIT:C33330	Pleural Mesothelial Cell	owl:equivalentClass	equivalent to	CL:1000491	mesothelial cell of pleura
NCIT:C12977	Pluripotent Stem Cell	owl:equivalentClass	equivalent to	CL:0002248	pluripotent stem cell
NCIT:C33334	Podocyte	owl:equivalentClass	equivalent to	CL:0000653	glomerular visceral epithelial cell
NCIT:C13131	Polychromatophilic Erythroblast	owl:equivalentClass	equivalent to	CL:0000550	polychromatophilic erythroblast
NCIT:C33391	Pre-B Lymphocyte	owl:equivalentClass	equivalent to	CL:0000955	pre-B-II cell
NCIT:C12600	Primary Oocyte	owl:equivalentClass	equivalent to	CL:0000654	primary oocyte
NCIT:C33401	Primordial Germ Cell	owl:equivalentClass	equivalent to	CL:0000670	primordial germ cell
NCIT:C13129	Proerythroblast	owl:equivalentClass	equivalent to	CL:0000547	proerythroblast
NCIT:C13121	Promonocyte	owl:equivalentClass	equivalent to	CL:0000559	promonocyte
NCIT:C13114	Promyelocyte	owl:equivalentClass	equivalent to	CL:0000836	promyelocyte
NCIT:C12651	Purkinje Cell	owl:equivalentClass	equivalent to	CL:0000121	Purkinje cell
NCIT:C12652	Pyramidal Cell	owl:equivalentClass	equivalent to	CL:0000598	pyramidal neuron
NCIT:C13156	Receptor Cell	owl:equivalentClass	equivalent to	CL:0000197	receptor cell
NCIT:C113502	Regulatory B Cell	owl:equivalentClass	equivalent to	CL:0000969	regulatory B cell
NCIT:C13057	Reticular Cell	owl:equivalentClass	equivalent to	CL:0000432	reticular cell
NCIT:C12528	Reticulocyte	owl:equivalentClass	equivalent to	CL:0000558	reticulocyte
NCIT:C12642	Retinal Ganglion Cell	owl:equivalentClass	equivalent to	CL:0000740	retinal ganglion cell
NCIT:C12620	Schwann Cell	owl:equivalentClass	equivalent to	CL:0002573	Schwann cell
NCIT:C43337	Sebocyte	owl:equivalentClass	equivalent to	CL:0000317	sebum secreting cell
NCIT:C33523	Secondary Oocyte	owl:equivalentClass	equivalent to	CL:0000655	secondary oocyte
NCIT:C13055	Secretory Cell	owl:equivalentClass	equivalent to	CL:0000151	secretory cell
NCIT:C12628	Sensory Neuron	owl:equivalentClass	equivalent to	CL:0000101	sensory neuron
NCIT:C12595	Sertoli Cell	owl:equivalentClass	equivalent to	CL:0000216	Sertoli cell
NCIT:C33558	Skeletal Fiber	owl:equivalentClass	equivalent to	CL:0008002	skeletal muscle fiber
NCIT:C48687	Skeletal Muscle Cell	owl:equivalentClass	equivalent to	CL:0000188	cell of skeletal muscle
NCIT:C12614	Slow-Twitch Muscle Fiber	owl:equivalentClass	equivalent to	CL:0002211	type I muscle cell
NCIT:C33566	Small Intestinal Glandular Cell	owl:equivalentClass	equivalent to	CL:1001598	small intestine glandular cell
NCIT:C33567	Small Intestinal Goblet Cell	owl:equivalentClass	equivalent to	CL:1000495	small intestine goblet cell
NCIT:C13001	Smooth Muscle Cell	owl:equivalentClass	equivalent to	CL:0000192	smooth muscle cell
NCIT:C12949	Somatic Cell	owl:equivalentClass	equivalent to	CL:0002371	somatic cell
NCIT:C33578	Somatotroph Cell	owl:equivalentClass	equivalent to	CL:0002312	somatotroph
NCIT:C12604	Spermatid	owl:equivalentClass	equivalent to	CL:0000018	spermatid
NCIT:C12605	Spermatocyte	owl:equivalentClass	equivalent to	CL:0000017	spermatocyte
NCIT:C12606	Spermatogonium	owl:equivalentClass	equivalent to	CL:0000020	spermatogonium
NCIT:C12602	Spermatozoon	owl:equivalentClass	equivalent to	CL:0000019	sperm
NCIT:C12951	Splenocyte	owl:equivalentClass	equivalent to	CL:2000074	splenocyte
NCIT:C13144	Squamous Alveolar Lining Cell	owl:equivalentClass	equivalent to	CL:0002062	type I pneumocyte
NCIT:C12662	Stem Cell	owl:equivalentClass	equivalent to	CL:0000034	stem cell
NCIT:C33637	Striated Muscle Cell	owl:equivalentClass	equivalent to	CL:0000737	striated muscle cell
NCIT:C12571	Stromal Cell	owl:equivalentClass	equivalent to	CL:0000499	stromal cell
NCIT:C12590	Supporting Cell of Organ of Corti	owl:equivalentClass	equivalent to	CL:0002490	organ of Corti supporting cell
NCIT:C13059	Synovial Cell	owl:equivalentClass	equivalent to	CL:0000214	synovial cell
NCIT:C113815	T Helper 17 Cell	owl:equivalentClass	equivalent to	CL:0000899	T-helper 17 cell
NCIT:C12476	T-Lymphocyte	owl:equivalentClass	equivalent to	CL:0000084	T cell
NCIT:C13147	Taste Bud Cell	owl:equivalentClass	equivalent to	CL:0000209	taste receptor cell
NCIT:C12572	Theca Cell	owl:equivalentClass	equivalent to	CL:0000503	theca cell
NCIT:C33761	Theca Lutein Cell	owl:equivalentClass	equivalent to	CL:0000590	small luteal cell
NCIT:C33771	Thymic Epithelial Cell	owl:equivalentClass	equivalent to	CL:0002293	epithelial cell of thymus
NCIT:C45702	Thymic Medullary Epithelial Cell	owl:equivalentClass	equivalent to	CL:0002365	medullary thymic epithelial cell
NCIT:C12994	Thymocyte	owl:equivalentClass	equivalent to	CL:0000893	thymocyte
NCIT:C33783	Thyroid Gland Follicular Cell	owl:equivalentClass	equivalent to	CL:0002258	thyroid follicular cell
NCIT:C33925	Thyroid Gland Oxyphil Cell	owl:equivalentClass	equivalent to	CL:0002200	oxyphil cell of thyroid
NCIT:C33786	Thyrotroph Cell	owl:equivalentClass	equivalent to	CL:0000476	thyrotroph
NCIT:C33796	Totipotent Neuroepithelial Stem Cell	owl:equivalentClass	equivalent to	CL:0002259	neuroepithelial stem cell
NCIT:C12978	Totipotent Stem Cell	owl:equivalentClass	equivalent to	CL:0000052	totipotent stem cell
NCIT:C33917	Trophoblastic Cell	owl:equivalentClass	equivalent to	CL:0000351	trophoblast cell
NCIT:C12539	Type 1 Helper Cell	owl:equivalentClass	equivalent to	CL:0000545	T-helper 1 cell
NCIT:C126755	Type 1 Regulatory T-Cell	owl:equivalentClass	equivalent to	CL:0000901	Tr1 cell
NCIT:C12540	Type 2 Helper Cell	owl:equivalentClass	equivalent to	CL:0000546	T-helper 2 cell
NCIT:C12630	Type I Hair Cell	owl:equivalentClass	equivalent to	CL:0002070	type I vestibular sensory cell
NCIT:C12631	Type II Hair Cell	owl:equivalentClass	equivalent to	CL:0002069	type II vestibular sensory cell
NCIT:C33834	Unipolar Neuron	owl:equivalentClass	equivalent to	CL:0000106	unipolar neuron
NCIT:C33841	Urothelial Cell	owl:equivalentClass	equivalent to	CL:0000731	urothelial cell
NCIT:C12632	Vestibular Hair Cell	owl:equivalentClass	equivalent to	CL:0000609	vestibular hair cell
NCIT:C33933	Yolk Cell	owl:equivalentClass	equivalent to	CL:0000428	yolk cell
NCIT:C12601	Zygote	owl:equivalentClass	equivalent to	CL:0000365	animal zygote
